	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			0.001***	0.006***		-0.018***	0.000***
			(0.000)	(0.001)		(0.002)	(0.000)
p_muj			0.000	0.006***		-0.010***	0.000
			(0.000)	(0.001)		(0.002)	(0.000)
niños_hog			-0.001***	-0.002***		-0.005*	-0.001***
			(0.000)	(0.001)		(0.003)	(0.000)
educ_hog			-0.005***	0.006***		0.027***	-0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_mujer			0.001***	-0.004***		0.004***	0.000
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.000***	-0.001***		0.000	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.000***	-0.001***		0.002***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
t_plf			-0.001***	0.006***		-0.002**	-0.000***
			(0.000)	(0.000)		(0.001)	(0.000)
t_des			-0.004***	-0.011***		0.006***	0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.001***	0.004***		-0.002***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.000***	0.001		0.004	0.000***
			(0.000)	(0.001)		(0.003)	(0.000)
group_1	0.013***						
	(0.000)						
group_c	0.027***						
	(0.000)						
group_2	0.036***						
	(0.001)						
tdifference	-0.022***						
	(0.001)						
t_explained	-0.014***						
	(0.000)						
t_unexplained	-0.008***						
	(0.001)						
total		-0.014***			-0.008***		
		(0.000)			(0.001)		
p_explained		-0.010***					
		(0.000)					
specif_err		-0.004***					
		(0.000)					
rwg_error					-0.001***		
					(0.000)		
p_unexplained					-0.007***		
					(0.001)		
Constant				-0.013***		-0.015***	
				(0.001)		(0.003)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
