	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.010***	-0.015***		0.028***	-0.003***
			(0.000)	(0.003)		(0.004)	(0.000)
p_muj			0.000***	0.000		-0.024***	-0.000
			(0.000)	(0.003)		(0.004)	(0.000)
niños_hog			-0.002***	0.018***		-0.040***	-0.000
			(0.000)	(0.002)		(0.004)	(0.000)
educ_hog			-0.014***	0.035***		-0.010***	-0.005***
			(0.000)	(0.002)		(0.002)	(0.000)
jefe_mujer			0.002***	-0.002***		0.006***	0.000*
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_edad			0.001***	0.000		0.002***	-0.000***
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_cp			0.005***	-0.015***		-0.008***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
t_plf			-0.001***	0.002**		0.013***	-0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.005***	-0.005***		-0.006***	0.001***
			(0.000)	(0.000)		(0.001)	(0.000)
ing_nolab_hog			-0.000***	0.010***		-0.005***	-0.003***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.002***	-0.032***		0.035***	-0.002***
			(0.000)	(0.002)		(0.004)	(0.000)
group_1	0.054***						
	(0.001)						
group_c	0.087***						
	(0.001)						
group_2	0.134***						
	(0.001)						
tdifference	-0.080***						
	(0.001)						
t_explained	-0.033***						
	(0.001)						
t_unexplained	-0.048***						
	(0.001)						
total		-0.033***			-0.048***		
		(0.001)			(0.001)		
p_explained		-0.025***					
		(0.001)					
specif_err		-0.008***					
		(0.001)					
rwg_error					-0.014***		
					(0.001)		
p_unexplained					-0.034***		
					(0.001)		
Constant				-0.003		-0.025***	
				(0.004)		(0.006)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
