	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.002***	-0.016***		-0.028***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.000**	-0.002*		0.002*	0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.002***	-0.009***		0.006***	-0.003***
			(0.000)	(0.001)		(0.002)	(0.000)
educ_hog			-0.015***	0.036***		0.067***	-0.004***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_mujer			0.002***	-0.002***		0.002***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.000***	0.000***		-0.008***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.000***	-0.001***		-0.006***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
t_plf			-0.002***	0.013***		-0.000	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.013***	-0.014***		0.005***	0.000**
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.001***	0.010***		-0.005***	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			0.000***	-0.000		0.004**	0.000***
			(0.000)	(0.001)		(0.002)	(0.000)
group_1	0.052***						
	(0.000)						
group_c	0.096***						
	(0.000)						
group_2	0.139***						
	(0.000)						
tdifference	-0.087***						
	(0.000)						
t_explained	-0.044***						
	(0.000)						
t_unexplained	-0.043***						
	(0.001)						
total		-0.044***			-0.043***		
		(0.000)			(0.001)		
p_explained		-0.033***					
		(0.000)					
specif_err		-0.011***					
		(0.000)					
rwg_error					-0.010***		
					(0.000)		
p_unexplained					-0.033***		
					(0.000)		
Constant				-0.026***		-0.074***	
				(0.002)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
