	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.005***	-0.010***		0.022***	-0.002***
			(0.000)	(0.002)		(0.003)	(0.000)
p_muj			0.000	0.004**		-0.021***	0.000
			(0.000)	(0.002)		(0.003)	(0.000)
niños_hog			-0.001***	0.010***		-0.024***	-0.000
			(0.000)	(0.002)		(0.003)	(0.000)
educ_hog			-0.009***	0.029***		-0.014***	-0.003***
			(0.000)	(0.001)		(0.002)	(0.000)
jefe_mujer			0.001***	-0.002***		0.004***	0.000*
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.000***	-0.001***		0.002***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.003***	-0.009***		-0.006***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
t_plf			-0.000***	0.002***		0.008***	-0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.003***	-0.004***		-0.006***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.000***	0.007***		-0.004***	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.001***	-0.022***		0.020***	-0.001***
			(0.000)	(0.001)		(0.003)	(0.000)
group_1	0.028***						
	(0.000)						
group_c	0.050***						
	(0.001)						
group_2	0.074***						
	(0.001)						
tdifference	-0.046***						
	(0.001)						
t_explained	-0.022***						
	(0.001)						
t_unexplained	-0.024***						
	(0.001)						
total		-0.022***			-0.024***		
		(0.001)			(0.001)		
p_explained		-0.015***					
		(0.000)					
specif_err		-0.006***					
		(0.001)					
rwg_error					-0.009***		
					(0.000)		
p_unexplained					-0.015***		
					(0.001)		
Constant				-0.010***		0.005	
				(0.003)		(0.004)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
