	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.001***	-0.001*		-0.018***	-0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.000*	0.005***		-0.010***	-0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.002***	0.002***		-0.012***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
educ_hog			-0.010***	0.022***		0.024***	-0.002***
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_mujer			0.001***	-0.003***		0.004***	0.000**
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.000***	-0.001***		-0.001***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.001***	-0.007***		-0.000	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
t_plf			-0.001***	0.006***		0.004***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.005***	-0.008***		0.003***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.000***	0.004***		-0.002***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.000***	-0.009***		0.020***	-0.000*
			(0.000)	(0.001)		(0.001)	(0.000)
group_1	0.025***						
	(0.000)						
group_c	0.048***						
	(0.000)						
group_2	0.067***						
	(0.000)						
tdifference	-0.042***						
	(0.000)						
t_explained	-0.023***						
	(0.000)						
t_unexplained	-0.019***						
	(0.000)						
total		-0.023***			-0.019***		
		(0.000)			(0.000)		
p_explained		-0.017***					
		(0.000)					
specif_err		-0.006***					
		(0.000)					
rwg_error					-0.005***		
					(0.000)		
p_unexplained					-0.014***		
					(0.000)		
Constant				-0.016***		-0.026***	
				(0.001)		(0.001)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
