	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.023***	-0.024***		0.005***	0.005***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.006***	-0.024***		0.008***	0.002***
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.031***	-0.000***		0.001**	0.019***
			(0.001)	(0.000)		(0.000)	(0.000)
educ_hog			-0.095***	0.105***		0.017***	0.024***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_mujer			-0.000***	-0.003***		0.008***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.006***	-0.000***		-0.001***	0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.023***	-0.000***		0.002***	0.014***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.026***	-0.000***		0.006***	0.008***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-1.219***	1.217***		-0.001***	0.004***
			(0.029)	(0.029)		(0.000)	(0.000)
ayudas_hog			0.011***	0.000		0.004***	-0.010***
			(0.001)	(0.000)		(0.001)	(0.000)
group_1	0.049***						
	(0.000)						
group_c	0.000***						
	(0.000)						
group_2	0.126***						
	(0.000)						
tdifference	-0.077***						
	(0.000)						
t_explained	-0.126***						
	(0.000)						
t_unexplained	0.049***						
	(0.000)						
total		-0.126***			0.049***		
		(0.000)			(0.000)		
p_explained		-1.405***					
		(0.029)					
specif_err		1.280***					
		(0.029)					
rwg_error					0.068***		
					(0.000)		
p_unexplained					-0.019***		
					(0.000)		
Constant				0.008***		-0.066***	
				(0.001)		(0.001)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
