	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.023***	-0.037***		0.009***	0.002***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.004***	-0.021***		0.010***	0.003***
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.027***	0.000		-0.003***	0.023***
			(0.001)	(0.000)		(0.001)	(0.000)
educ_hog			-0.079***	0.123***		0.029***	0.014***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_mujer			-0.000***	-0.004***		0.007***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.009***	-0.000***		-0.003***	0.006***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.017***	-0.000***		-0.000	0.011***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.039***	-0.000***		0.006***	0.014***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-1.236***	1.233***		-0.002***	0.007***
			(0.024)	(0.024)		(0.000)	(0.000)
ayudas_hog			0.006***	-0.000***		0.005***	-0.009***
			(0.001)	(0.000)		(0.001)	(0.000)
group_1	0.051***						
	(0.000)						
group_c	0.002***						
	(0.000)						
group_2	0.138***						
	(0.000)						
tdifference	-0.087***						
	(0.000)						
t_explained	-0.136***						
	(0.000)						
t_unexplained	0.049***						
	(0.000)						
total		-0.136***			0.049***		
		(0.000)			(0.000)		
p_explained		-1.421***					
		(0.024)					
specif_err		1.285***					
		(0.024)					
rwg_error					0.069***		
					(0.000)		
p_unexplained					-0.020***		
					(0.000)		
Constant				-0.008***		-0.077***	
				(0.002)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
