	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.011***	-0.002*		-0.038***	-0.002***
			(0.000)	(0.001)		(0.003)	(0.000)
p_muj			0.000***	-0.006***		0.020***	-0.000***
			(0.000)	(0.001)		(0.003)	(0.000)
niños_hog			-0.005***	-0.019***		0.010*	-0.004***
			(0.000)	(0.002)		(0.005)	(0.000)
educ_hog			-0.048***	0.029***		0.092***	-0.002***
			(0.000)	(0.001)		(0.003)	(0.000)
jefe_mujer			0.003***	-0.006***		0.008***	0.000
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_edad			0.001***	0.001***		-0.005***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.002***	-0.010***		0.016***	-0.002***
			(0.000)	(0.000)		(0.001)	(0.000)
t_des			-0.012***	-0.014***		0.013***	0.002***
			(0.000)	(0.000)		(0.001)	(0.000)
ing_nolab_hog			-0.004***	0.009***		0.001**	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.000	-0.021***		0.029***	-0.001***
			(0.000)	(0.002)		(0.006)	(0.000)
group_1	0.130***						
	(0.000)						
group_c	0.220***						
	(0.000)						
group_2	0.274***						
	(0.001)						
tdifference	-0.143***						
	(0.001)						
t_explained	-0.090***						
	(0.001)						
t_unexplained	-0.054***						
	(0.001)						
total		-0.090***			-0.054***		
		(0.001)			(0.001)		
p_explained		-0.074***					
		(0.000)					
specif_err		-0.016***					
		(0.001)					
rwg_error					-0.011***		
					(0.001)		
p_unexplained					-0.043***		
					(0.001)		
Constant				0.024***		-0.190***	
				(0.002)		(0.006)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
