	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.009***	-0.010***		-0.028***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			-0.000***	-0.008***		-0.001	-0.000
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.005***	0.009***		-0.017***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
educ_hog			-0.029***	0.032***		0.069***	-0.005***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_mujer			0.002***	-0.004***		0.007***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.001***	0.001***		-0.005***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.002***	-0.012***		0.004***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.010***	-0.012***		0.008***	-0.000**
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.001***	0.009***		-0.003***	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.000***	-0.030***		0.039***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
group_1	0.095***						
	(0.000)						
group_c	0.154***						
	(0.000)						
group_2	0.217***						
	(0.000)						
tdifference	-0.122***						
	(0.000)						
t_explained	-0.059***						
	(0.000)						
t_unexplained	-0.063***						
	(0.000)						
total		-0.059***			-0.063***		
		(0.000)			(0.000)		
p_explained		-0.049***					
		(0.000)					
specif_err		-0.010***					
		(0.000)					
rwg_error					-0.012***		
					(0.000)		
p_unexplained					-0.051***		
					(0.000)		
Constant				0.016***		-0.124***	
				(0.001)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
